R,PR,Position,Name,Team,RBBR,FF Projection
596,116,QB,Jayden de Laura,Transfer Portal,5.5,Waiver Wire Warrior,Devy
174,49,RB,Jayden Ott,California,6.9,Flex Filler,Devy
67,29,WR,Jayden Reed,GB,7.7,Weekly Starter,Dynasty
315,88,RB,Jaydon Blue,Texas,6.4,Bench Depth,Devy
462,119,RB,Jaylan Knighton,SMU,6,Taxi Squad Stash,Devy
38,15,WR,Jaylen Waddle,MIA,8.2,League Winner,Dynasty
192,56,RB,Jaylen Warren,PIT,6.8,Flex Filler,Dynasty
262,78,RB,Jaylen Wright,Tennessee,6.6,Flex Filler,Rookie
610,228,WR,Je'Quan Burton,Florida Atlantic,5.4,Waiver Wire Warrior,Rookie
622,169,RB,Jeffery Wilson,MIA,5.3,Waiver Wire Warrior,Dynasty
568,86,TE,Jelani Thurman,Ohio State,5.7,Taxi Squad Stash,Devy
516,71,TE,Jelani Woods,IND,5.9,Taxi Squad Stash,Dynasty
450,182,WR,Jerand Bradley,Texas Tech,6,Taxi Squad Stash,Devy
464,121,RB,Jeremiah Cobb,Auburn,6,Taxi Squad Stash,Devy
104,45,WR,Jeremiah Smith,Ohio State,7.4,Weekly Starter,Devy
477,60,TE,Jeremy Ruckert,NYJ,6.0,Taxi Squad Stash,Dynasty
385,159,WR,Jermaine Burton,Alabama,6.2,Bench Depth,Rookie
166,46,RB,Jerome Ford,CLE,6.9,Flex Filler,Dynasty
142,41,RB,Jerrick Gibson,Texas,7.1,Weekly Starter,Devy
559,153,RB,Jerick McKinnon,KC,5.7,Taxi Squad Stash,Dynasty
232,83,WR,Jerry Jeudy,CLE,6.6,Flex Filler,Dynasty
386,160,WR,Jha’Quan Jackson,Tulane,6.2,Bench Depth,Rookie
451,183,WR,Jimmy Horn Jr.,Colorado,6,Taxi Squad Stash,Devy
35,14,QB,JJ McCarthy,Michigan,8.2,League Winner,Rookie
219,64,RB,JK Dobbins,FA,6.7,Flex Filler,Dynasty
352,96,RB,Jo'Quavious Marks,USC,6.3,Bench Depth,Devy
8,5,QB,Joe Burrow,CIN,8.7,Franchise Cornerstone,Dynasty
441,93,QB,Joe Flacco,IND,6.1,Bench Depth,Dynasty
324,71,QB,Joe Milton,Tennessee,6.4,Bench Depth,Rookie
132,36,RB,Joe Mixon,HOU,7.1,Weekly Starter,Dynasty
476,190,WR,John Metchie,HOU,6.0,Taxi Squad Stash,Dynasty
600,120,QB,John Rhys Plumlee,UCF,5.5,Waiver Wire Warrior,Rookie
454,186,WR,Johnny Wilson,Florida State,6,Bench Depth,Rookie
195,72,WR,Johntay Cook II,Texas,6.8,Flex Filler,Devy
562,219,WR,JoJo Earle,TCU,5.7,Taxi Squad Stash,Devy
260,76,RB,Jonathan Brooks,Texas,6.6,Flex Filler,Rookie
342,138,WR,Jonathan Mingo,CAR,6.3,Bench Depth,Dynasty
42,8,RB,Jonathan Taylor,IND,8.1,League Winner,Dynasty
395,45,TE,Jonnu Smith,MIA,6.2,Bench Depth,Dynasty
40,16,WR,Jordan Addison,MIN,8.1,League Winner,Dynasty
56,17,QB,Jordan Love,GB,7.8,Weekly Starter,Dynasty
471,128,RB,Jordan Marshall,Michigan,6,Taxi Squad Stash,Devy
514,102,QB,Jordan Travis,Florida State,5.9,Taxi Squad Stash,Rookie
551,152,RB,Jordan Waters,Duke,5.8,Taxi Squad Stash,Rookie
457,189,WR,Jordan Whittington,Texas,6,Bench Depth,Rookie
1,1,QB,Josh Allen,BUF,9.6,Generational,Dynasty
148,55,WR,Josh Downs,IND,7.1,Weekly Starter,Dynasty
101,24,RB,Josh Jacobs,GB,7.4,Weekly Starter,Dynasty
588,93,TE,Josh Oliver,MIN,5.5,Waiver Wire Warrior,Dynasty
325,128,WR,Josh Palmer,LAC,6.4,Bench Depth,Dynasty
543,144,RB,Jovantae Barnes,Oklahoma,5.8,Taxi Squad Stash,Devy
344,139,WR,JuJu Smith-Schuster,NE,6.3,Bench Depth,Dynasty
146,36,QB,Julian Sayan,Alabama,7.1,Weekly Starter,Devy
241,92,WR,Jurrion Dickey,Oregon,6.6,Flex Filler,Devy
140,39,RB,Justice Haynes,Alabama,7.1,Weekly Starter,Devy
449,116,RB,Justice Hill,BAL,6.0,Bench Depth,Dynasty
147,37,QB,Justin Fields,PIT,7.1,Weekly Starter,Dynasty
39,15,QB,Justin Herbert,LAC,8.1,League Winner,Dynasty
5,2,WR,Justin Jefferson,MIN,9.1,Generational,Dynasty
483,194,WR,Justin Watson,KC,5.9,Taxi Squad Stash,Dynasty
442,55,TE,Juwan Johnson,NO,6.1,Bench Depth,Dynasty
415,173,WR,Kaden Saunders,Penn State,6.1,Bench Depth,Devy
572,107,QB,Kaidon Salter,Liberty,5.7,Taxi Squad Stash,Devy
519,206,WR,Kaleb Brown,Iowa,5.8,Taxi Squad Stash,Devy
432,115,RB,Kaleb Jackson,LSU,6.1,Bench Depth,Devy
558,217,WR,Kalif Raymond,DET,5.7,Taxi Squad Stash,Dynasty
468,125,RB,Kameron Davis,Florida State,6,Taxi Squad Stash,Devy
430,113,RB,Kavosiey Smoke,Colorado,6.1,Bench Depth,Devy
592,160,RB,Kayron Lynch-Adams,Massachusetts,5.5,Waiver Wire Warrior,Rookie
173,48,RB,Kaytron Allen,Penn State,6.9,Flex Filler,Devy
518,138,RB,Keaton Mitchell,BAL,5.8,Taxi Squad Stash,Dynasty
574,109,QB,Kedon Slovis,BYU,5.7,Taxi Squad Stash,Rookie
291,81,RB,Kedren Young,Notre Dame,6.5,Flex Filler,Devy
467,124,RB,Kedrick Resscano,Michigan State,6,Taxi Squad Stash,Devy
65,27,WR,Keenan Allen,CHI,7.8,Weekly Starter,Dynasty
582,157,RB,Keilan Robinson,Texas,5.6,Taxi Squad Stash,Rookie
320,93,RB,Kendall Milton,Georgia,6.4,Bench Depth,Rookie
365,104,RB,Kendre Miller,NO,6.3,Bench Depth,Dynasty
296,116,WR,Kendrick Bourne,NE,6.5,Bench Depth,Dynasty
327,94,RB,Kenneth Gainwell,PHI,6.4,Bench Depth,Dynasty
70,15,RB,Kenneth Walker III,SEA,7.7,Weekly Starter,Dynasty
363,78,QB,Kenny Pickett,PIT,6.3,Bench Depth,Dynasty
96,42,WR,Keon Coleman,Florida State,7.5,Weekly Starter,Rookie
410,168,WR,Kevin Coleman,Mississippi State,6.1,Bench Depth,Devy
243,94,WR,Kevin Concepcion,NC State,6.6,Flex Filler,Devy
624,171,RB,Kevin Harris,NE,5.2,Waiver Wire Warrior,Dynasty
293,83,RB,Kevin Riley,Alabama,6.5,Flex Filler,Devy
585,158,RB,Khalil Herbert,CHI,5.6,Waiver Wire Warrior,Dynasty
376,150,WR,Khalil Shakir,BUF,6.2,Bench Depth,Dynasty
472,129,RB,Kimani Vidal,Troy,6,Bench Depth,Rookie
86,20,QB,Kirk Cousins,ATL,7.6,Weekly Starter,Dynasty
434,86,QB,KJ Jefferson,UCF,6.1,Bench Depth,Devy
306,124,WR,Kobe Prentice,Alabama,6.4,Bench Depth,Devy
553,105,QB,Kyle McCord,Syracuse,5.8,Taxi Squad Stash,Devy
348,143,WR,Kyle Phillips,TEN,6.3,Bench Depth,Dynasty
46,5,TE,Kyle Pitts,ATL,8.0,Weekly Starter,Dynasty
517,72,TE,Kylen Granson,IND,5.8,Taxi Squad Stash,Dynasty
18,9,QB,Kyler Murray,ARI,8.4,League Winner,Dynasty
37,7,RB,Kyren Williams,LAR,8.2,League Winner,Dynasty
137,54,WR,Ladd McConkey,Georgia,7.1,Weekly Starter,Rookie
2,2,QB,Lamar Jackson,BAL,9.3,Generational,Dynasty
613,165,RB,Larry McCammon,Florida Atlantic,5.4,Waiver Wire Warrior,Rookie
353,97,RB,Le'Veon Moss,Texas A&M,6.3,Bench Depth,Devy
493,204,WR,Lideatrick Griffin,Mississippi State,5.9,Taxi Squad Stash,Rookie
525,212,WR,Lincoln Victor,Washington State,5.8,Taxi Squad Stash,Rookie
503,130,RB,LJ Johnson,SMU,5.9,Taxi Squad Stash,Devy
615,123,QB,Luke Altmyer,Illinois,5.4,Waiver Wire Warrior,Rookie
587,92,TE,Luke Farrell,JAC,5.5,Waiver Wire Warrior,Dynasty
180,44,QB,Luke Kromenhoek,Florida State,6.9,Flex Filler,Devy
349,144,WR,Luke McCaffrey,Rice,6.3,Bench Depth,Rookie
191,18,TE,Luke Musgrave,GB,6.8,Flex Filler,Dynasty
350,37,TE,Luke Reynolds,Penn State,6.3,Bench Depth,Devy
577,88,TE,Luke Schoonmaker,DAL,5.6,Taxi Squad Stash,Dynasty
32,12,WR,Luther Burden,Missouri,8.2,League Winner,Devy
360,75,QB,Maalik Murphey,Transfer Portal,6.3,Bench Depth,Devy
447,95,QB,Mac Jones,JAC,6.1,Bench Depth,Dynasty
183,67,WR,Mack Hollins,BUF,6.9,Flex Filler,Dynasty
249,100,WR,Malachi Corley,Western Kentucky,6.6,Flex Filler,Rookie
321,68,QB,Malachi Nelson,Boise State,6.4,Bench Depth,Devy
417,175,WR,Malik Benson,Florida State,6.1,Bench Depth,Devy
28,10,WR,Malik Nabers,LSU,8.3,League Winner,Rookie
217,80,WR,Malik Washington,Virginia,6.7,Flex Filler,Rookie
366,79,QB,Marcus Mariota,WAS,6.3,Bench Depth,Dynasty
455,187,WR,Marcus Rosemy-Jacksaint,Georgia,6,Bench Depth,Rookie
609,227,WR,Mario Williams,USC,5.4,Waiver Wire Warrior,Rookie
41,3,TE,Mark Andrews,BAL,8.1,League Winner,Dynasty
275,103,WR,Marquez-Valdes Scantling,KC,6.5,Flex Filler,Dynasty
178,53,RB,Marshawn Lloyd,USC,6.9,Flex Filler,Rookie
9,4,WR,Marvin Harrison Jr,Ohio State,8.6,Franchise Cornerstone,Rookie
187,69,WR,Marvin Mims,DEN,6.9,Flex Filler,Dynasty
499,67,TE,Mason Fairchild,Kansas,5.9,Taxi Squad Stash,Rookie
371,80,QB,Mason Rudolph,TEN,6.3,Bench Depth,Dynasty
169,64,WR,Matthew Golden,Texas,6.9,Flex Filler,Devy
109,26,QB,Matthew Stafford,LAR,7.4,Weekly Starter,Dynasty
153,60,WR,Micah Hudson,Texas Tech,7,Weekly Starter,Devy
630,176,RB,Michael Carter,ARI,5.1,Waiver Wire Warrior,Dynasty
443,180,WR,Michael Gallup,DAL,6.1,Bench Depth,Dynasty
168,17,TE,Michael Mayer,LV,6.9,Flex Filler,Dynasty
295,66,QB,Michael Penix Jr.,Washington,6.5,Flex Filler,Rookie
31,11,WR,Michael Pittman,IND,8.2,League Winner,Dynasty
225,55,QB,Michael Pratt,Tulane,6.7,Flex Filler,Rookie
423,52,TE,Michael Smith,South Carolina,6.1,Bench Depth,Devy
458,58,TE,Michael Trigg,Baylor,6,Taxi Squad Stash,Devy
510,137,RB,Michael Wiley,Arizona,5.9,Taxi Squad Stash,Rookie
226,81,WR,Michael Wilson,ARI,6.7,Flex Filler,Dynasty
63,25,WR,Mike Evans,TB,7.8,Weekly Starter,Dynasty
404,50,TE,Mike Gesicki,CIN,6.1,Bench Depth,Dynasty
246,97,WR,Mike Matthews,Tennessee,6.6,Flex Filler,Devy
374,107,RB,Miles Sanders,CAR,6.3,Bench Depth,Dynasty
550,151,RB,Miyan Williams,Ohio State,5.8,Taxi Squad Stash,Rookie
419,177,WR,Monaray Baldwin,Baylor,6.1,Bench Depth,Devy
428,111,RB,Montrell Johnson,Florida,6.1,Bench Depth,Devy
578,224,WR,Moose Muhammed III,Texas A&M,5.6,Taxi Squad Stash,Rookie
247,98,WR,Mylan Graham,Ohio State,6.6,Flex Filler,Devy
80,18,RB,Najee Harris,PIT,7.6,Weekly Starter,Dynasty
470,127,RB,Nate Frazier,Georgia,6,Taxi Squad Stash,Devy
409,167,WR,Nelson Agholor,BAL,6.1,Bench Depth,Dynasty
284,111,WR,Nic Anderson,Oklahoma,6.5,Flex Filler,Devy
120,29,QB,Nicholaus Iamaleava,Tennessee,7.3,Weekly Starter,Devy
121,29,RB,Nick Chubb,CLE,7.2,Weekly Starter,Dynasty
573,108,QB,Nick Evers,Wisconsin,5.7,Taxi Squad Stash,Devy
85,19,RB,Nick Singleton,Penn State,7.6,Weekly Starter,Devy
337,134,WR,Nick Westbrook-Ikhine,TEN,6.4,Bench Depth,Dynasty
78,35,WR,Nico Collins,HOU,7.7,Weekly Starter,Dynasty
364,145,WR,Noah Brown,HOU,6.3,Bench Depth,Dynasty
401,49,TE,Noah Fant,SEA,6.1,Bench Depth,Dynasty
400,48,TE,Noah Gray,KC,6.2,Bench Depth,Dynasty
593,113,QB,Noah Kim,Coastal Carolina,5.5,Waiver Wire Warrior,Devy
285,112,WR,Noah Rogers,NC State,6.5,Flex Filler,Devy
286,113,WR,Nyckoles Harbor,South Carolina,6.5,Flex Filler,Devy
444,181,WR,Odell Beckham Jr,FA,6.1,Bench Depth,Dynasty
252,68,RB,Ollie Gordon II,Oklahoma State,6.6,Flex Filler,Devy
256,72,RB,Omarian Hampton,North Carolina,6.6,Flex Filler,Devy
250,26,TE,Oscar Delp,Georgia,6.6,Flex Filler,Devy
379,153,WR,Parker Washington,JAC,6.2,Bench Depth,Dynasty
228,24,TE,Pat Freiermuth,PIT,6.7,Flex Filler,Dynasty
6,4,QB,Patrick Mahomes,KC,8.9,Franchise Cornerstone,Dynasty
482,62,TE,Payne Durham,TB,5.9,Taxi Squad Stash,Dynasty
311,32,TE,Pearce Spurlin,Georgia,6.4,Bench Depth,Devy
245,96,WR,Perry Thompson,Auburn,6.6,Flex Filler,Devy
429,112,RB,Phil Mafah,Clemson,6.1,Bench Depth,Devy
626,173,RB,Pierre Strong,CLE,5.2,Waiver Wire Warrior,Dynasty
474,97,QB,Preston Stone,SMU,6,Taxi Squad Stash,Devy
27,9,WR,Puka Nacua,LAR,8.3,League Winner,Dynasty
297,117,WR,Quentin Johnston,LAC,6.5,Bench Depth,Dynasty
107,25,QB,Quinn Ewers,Texas,7.4,Weekly Starter,Devy
60,13,RB,Quinshon Judkins,Ohio State,7.8,Weekly Starter,Devy
44,9,RB,Rachaad White,TB,8.0,League Winner,Dynasty
99,23,RB,Raheem Mostert,MIA,7.4,Weekly Starter,Dynasty
172,47,RB,Raheim Sanders,South Carolina,6.9,Flex Filler,Devy
201,59,RB,Raleek Brown,Arizona State,6.8,Flex Filler,Devy
565,222,WR,Ramel Keyton,Tennessee,5.7,Taxi Squad Stash,Devy
521,208,WR,RaRa Thomas,Georgia,5.8,Taxi Squad Stash,Devy
64,26,WR,Rashee Rice,KC,7.8,Weekly Starter,Dynasty
391,108,RB,Rasheen Ali,Marshall,6.2,Bench Depth,Rookie
328,129,WR,Rashid Shaheed,NO,6.4,Bench Depth,Dynasty
277,105,WR,Rashod Bateman,BAL,6.5,Flex Filler,Dynasty
221,66,RB,Ray Davis,Kentucky,6.7,Flex Filler,Rookie
129,33,RB,Rhamondre Stevenson,NE,7.2,Weekly Starter,Dynasty
542,143,RB,Richard Reese,Baylor,5.8,Taxi Squad Stash,Devy
258,74,RB,Richard Young,Alabama,6.6,Flex Filler,Devy
197,74,WR,Ricky Pearsall,Florida,6.8,Flex Filler,Rookie
567,85,TE,Riley Williams,Miami,5.7,Taxi Squad Stash,Devy
557,216,WR,Robert Woods,HOU,5.8,Taxi Squad Stash,Dynasty
122,52,WR,Roman Wilson,Michigan,7.2,Weekly Starter,Rookie
82,37,WR,Rome Odunze,Washington,7.6,Weekly Starter,Rookie
185,68,WR,Romeo Doubs,GB,6.9,Flex Filler,Dynasty
333,131,WR,Rondale Moore,ATL,6.4,Bench Depth,Dynasty
617,167,RB,Ronnie Rivers,LAR,5.3,Waiver Wire Warrior,Dynasty
259,75,RB,Roschon Johnson,CHI,6.6,Flex Filler,Dynasty
139,38,RB,Rueben Owens,Texas A&M,7.1,Weekly Starter,Devy
102,23,QB,Russell Wilson,PIT,7.4,Weekly Starter,Dynasty
566,223,WR,Ryan Flournoy,Southeast Missouri,5.7,Taxi Squad Stash,Rookie
440,92,QB,Ryan Puglisi,Georgia,6.1,Bench Depth,Devy
151,58,WR,Ryan Williams,Auburn,7,Weekly Starter,Devy
152,59,WR,Ryan Wingo,Texas,7,Weekly Starter,Devy
229,57,QB,Sam Darnold,MIN,6.7,Flex Filler,Dynasty
323,70,QB,Sam Hartman,Notre Dame,6.4,Bench Depth,Rookie
433,85,QB,Sam Horn,Missouri,6.1,Bench Depth,Devy
213,52,QB,Sam Howell,SEA,6.7,Flex Filler,Dynasty
597,117,QB,Sam Huard,Cal Poly,5.5,Waiver Wire Warrior,Devy
17,1,TE,Sam LaPorta,DET,8.5,League Winner,Dynasty
22,5,RB,Saquon Barkley,PHI,8.4,League Winner,Dynasty
416,174,WR,Savion Williams,TCU,6.1,Bench Depth,Devy
625,172,RB,Sean Tucker,TB,5.2,Waiver Wire Warrior,Dynasty
307,125,WR,Shazz Preston,Transfer Portal,6.4,Bench Depth,Devy
118,27,QB,Shedeur Sanders,Colorado,7.3,Weekly Starter,Devy
242,93,WR,Shelton Sampson Jr.,LSU,6.6,Flex Filler,Devy
336,133,WR,Skyy Moore,KC,6.4,Bench Depth,Dynasty
182,46,QB,Spencer Rattler,South Carolina,6.9,Flex Filler,Rookie
411,169,WR,Squirrel White,Tennessee,6.1,Bench Depth,Devy
57,21,WR,Stefon Diggs,BUF,7.8,Weekly Starter,Dynasty
51,6,TE,T.J. Hockenson,MIN,7.9,Weekly Starter,Dynasty
489,200,WR,Tahj Washington,USC,5.9,Taxi Squad Stash,Rookie
341,95,RB,Tank Bigsby,JAC,6.3,Bench Depth,Dynasty
75,34,WR,Tank Dell,HOU,7.7,Weekly Starter,Dynasty
502,70,TE,Tanner McLachlan,Arizona,5.9,Taxi Squad Stash,Rookie
602,122,QB,Taulia Tagovailoa,Maryland,5.5,Waiver Wire Warrior,Rookie
436,88,QB,Taylen Green,Arkansas,6.1,Bench Depth,Devy
141,40,RB,Taylor Tatum,Oklahoma,7.1,Weekly Starter,Devy
271,64,QB,Taysom Hill,NO,6.6,Flex Filler,Dynasty
494,205,WR,Tayvion Robinson,Kentucky,5.9,Taxi Squad Stash,Rookie
448,57,TE,TE1,CAR,6.0,Bench Depth,Dynasty
68,30,WR,Tee Higgins,CIN,7.7,Weekly Starter,Dynasty
486,197,WR,Terrace Marshall,CAR,5.9,Taxi Squad Stash,Dynasty
530,74,TE,Terrance Ferguson,Oregon,5.8,Taxi Squad Stash,Rookie
487,198,WR,Terrell Vaughn,Utah State,5.9,Taxi Squad Stash,Rookie
110,46,WR,Terry McLaurin,WAS,7.3,Weekly Starter,Dynasty
112,48,WR,Tetairoa McMillan,Arizona,7.3,Weekly Starter,Devy
504,131,RB,Thaddius Franklin,UL-Monroe,5.9,Taxi Squad Stash,Devy
218,23,TE,Theo Johnson,Penn State,6.7,Flex Filler,Rookie
488,199,WR,Theo Wease,Missouri,5.9,Taxi Squad Stash,Rookie
484,195,WR,Theo Wease,Missouri,5.9,Taxi Squad Stash,Devy
397,162,WR,Tim Patrick,DEN,6.2,Bench Depth,Dynasty
533,77,TE,Tip Reiman,Illinois,5.8,Taxi Squad Stash,Rookie
584,90,TE,Tommy Tremble,CAR,5.6,Waiver Wire Warrior,Dynasty
116,27,RB,Tony Pollard,TEN,7.3,Weekly Starter,Dynasty
234,85,WR,Traeshon Holden,Oregon,6.6,Flex Filler,Devy
30,6,RB,Travis Etienne,JAC,8.2,League Winner,Dynasty
236,87,WR,Travis Hunter,Colorado,6.6,Flex Filler,Devy
43,4,TE,Travis Kelce,KC,8.1,League Winner,Dynasty
619,230,WR,Tre Mosley,Michigan State,5.3,Waiver Wire Warrior,Rookie
339,136,WR,Tre Tucker,LV,6.3,Bench Depth,Dynasty
73,16,RB,TreVeyon Henderson,Ohio State,7.7,Weekly Starter,Devy
461,118,RB,Trevonte Citizen,Miami,6,Taxi Squad Stash,Devy
105,25,RB,Trevor Etienne,Georgia,7.4,Weekly Starter,Devy
24,12,QB,Trevor Lawrence,JAC,8.4,League Winner,Dynasty
204,62,RB,Trey Benson,Florida State,6.8,Flex Filler,Rookie
532,76,TE,Trey Knox,South Carolina,5.8,Taxi Squad Stash,Rookie
332,73,QB,Trey Lance,DAL,6.4,Bench Depth,Dynasty
53,7,TE,Trey McBride,ARI,7.9,Weekly Starter,Dynasty
303,122,WR,Trey Palmer,TB,6.4,Bench Depth,Dynasty
505,132,RB,Trey Sanders,TCU,5.9,Taxi Squad Stash,Devy
390,43,TE,Trey'Dez Green,LSU,6.2,Bench Depth,Devy
466,123,RB,Treyaun Webb,Florida,6,Taxi Squad Stash,Devy
393,161,WR,Treylon Burks,TEN,6.2,Bench Depth,Dynasty
71,31,WR,Troy Franklin,Oregon,7.7,Weekly Starter,Rookie
50,16,QB,Tua Tagovailoa,MIA,8.0,Weekly Starter,Dynasty
211,21,TE,Tucker Kraft,GB,6.7,Flex Filler,Dynasty
340,137,WR,Tutu Atwell,LAR,6.3,Bench Depth,Dynasty
301,85,RB,Ty Chandler,MIN,6.5,Bench Depth,Dynasty
513,101,QB,Ty Simpson,Alabama,5.9,Taxi Squad Stash,Devy
511,99,QB,Ty Thompson,Tulane,5.9,Taxi Squad Stash,Devy
186,55,RB,Tyjae Spears,TEN,6.9,Flex Filler,Dynasty
279,80,RB,Tyler Allgeier,ATL,6.5,Flex Filler,Dynasty
370,147,WR,Tyler Body,FA,6.3,Bench Depth,Dynasty
343,36,TE,Tyler Conklin,NYJ,6.3,Bench Depth,Dynasty
563,220,WR,Tyler Harrell,Miami,5.7,Taxi Squad Stash,Devy
330,35,TE,Tyler Higbee,LAR,6.4,Bench Depth,Dynasty
231,82,WR,Tyler Lockett,SEA,6.6,Flex Filler,Dynasty
569,87,TE,Tyler Lockwood,Alabama,5.7,Taxi Squad Stash,Devy
384,158,WR,Tyler Scott,CHI,6.2,Bench Depth,Dynasty
263,58,QB,Tyler Van Dyke,Wisconsin,6.6,Flex Filler,Devy
536,80,TE,Tyler Warren,Penn State,5.8,Taxi Squad Stash,Rookie
300,120,WR,Tyquan Thornton,NE,6.5,Bench Depth,Dynasty
26,8,WR,Tyreek Hill,MIA,8.3,League Winner,Dynasty
398,82,QB,Tyrod Taylor,NYJ,6.2,Bench Depth,Dynasty
508,135,RB,Tyrone Tracey Jr.,Purdue,5.9,Taxi Squad Stash,Rookie
378,152,WR,Van Jefferson,ATL,6.2,Bench Depth,Dynasty
205,49,QB,Walker Howard,Mississippi,6.8,Flex Filler,Devy
422,51,TE,Walker Lyons,USC,6.1,Bench Depth,Devy
322,69,QB,Walker White,Auburn,6.4,Bench Depth,Devy
276,104,WR,Wan'Dale Robinson,NYG,6.5,Flex Filler,Dynasty
266,61,QB,Will Howard,USC,6.6,Flex Filler,Devy
227,56,QB,Will Levis,TEN,6.7,Flex Filler,Dynasty
473,96,QB,Will Rogers,Transfer Portal,6,Taxi Squad Stash,Devy
357,101,RB,Will Shipley,Clemson,6.3,Bench Depth,Rookie
171,66,WR,Xavier Leggete,South Carolina,6.9,Flex Filler,Rookie
421,179,WR,Xavier Weaver,Colorado,6.1,Bench Depth,Rookie
83,38,WR,Xavier Worthy,Texas,7.6,Weekly Starter,Rookie
161,42,RB,Zach Charbonnet,SEA,7.0,Flex Filler,Dynasty
560,84,TE,Zach Ertz,WAS,5.7,Taxi Squad Stash,Dynasty
629,175,RB,Zach Evans,LAR,5.1,Waiver Wire Warrior,Dynasty
537,81,TE,Zach Heins,South Dakota State,5.8,Taxi Squad Stash,Rookie
113,49,WR,Zachariah Branch,USC,7.3,Weekly Starter,Devy
203,61,RB,Zack Moss,CIN,6.8,Flex Filler,Dynasty
184,54,RB,Zamir White,LV,6.9,Flex Filler,Dynasty
58,22,WR,Zay Flowers,BAL,7.8,Weekly Starter,Dynasty
304,123,WR,Zay Jones,JAC,6.4,Bench Depth,Dynasty